Team,Opponent,Goals Made,Goals Conceded,Delta Goals,Wins,Losses,Result
Brazil,Germany,1,7,-6,0,1,Semi Finals
Germany,Argentina,1,0,1,1,0,Winner
Argentina,Netherlands,0,0,0,1,0,Semi Finals
Netherlands,Brazil,3,0,3,1,0,Fourth Place
Brazil,Colombia,2,1,1,1,0,Quarter Finals
France,Germany,0,1,-1,0,1,Quarter Finals
Netherlands,Mexico,2,1,1,1,0,Round of Sixteen
CostaRica,Greece,1,1,0,1,0,Round of Sixteen
Argentina,Switzerland,1,0,1,1,0,Round of Sixteen
Belgium,UnitedStates,2,1,1,1,0,Round of Sixteen
Netherlands,CostaRica,0,0,0,1,0,Quarter Finals
Argentina,Belgium,1,0,1,1,0,Quarter Finals
Netherlands,Argentina,0,0,0,0,1,Semi Finals
Brazil,Netherlands,0,3,-3,0,1,Third Place
Chile,Brazil,1,1,0,0,1,Round of Sixteen
Uruguay,Colombia,0,2,-2,0,1,Round of Sixteen
Nigeria,France,0,2,-2,0,1,Round of Sixteen
Algeria,Germany,1,2,-1,0,1,Round of Sixteen
Colombia,Brazil,1,2,-1,0,1,Quarter Finals
Germany,France,1,0,1,1,0,Quarter Finals
Germany,Brazil,7,1,6,1,0,Semi Finals
Argentina,Germany,0,1,-1,0,1,Runner-Up
Mexico,Netherlands,1,2,-1,0,1,Round of Sixteen
Greece,CostaRica,1,1,0,0,1,Round of Sixteen
Switzerland,Argentina,0,1,-1,0,1,Round of Sixteen
UnitedStates,Belgium,1,2,-1,0,1,Round of Sixteen
CostaRica,Netherlands,0,0,0,0,1,Quarter Finals
Belgium,Argentina,0,1,-1,0,1,Quarter Finals
Brazil,Chile,1,1,0,1,0,Round of Sixteen
Colombia,Uruguay,2,0,2,1,0,Round of Sixteen
France,Nigeria,2,0,2,1,0,Round of Sixteen
Germany,Algeria,2,1,1,1,0,Round of Sixteen
Brazil,Croatia,3,1,2,1,0,Group
Mexico,Cameroon,1,0,1,1,0,Group
Spain,Netherlands,1,5,-4,0,1,Group
Chile,Australia,3,1,2,1,0,Group
Colombia,Greece,3,0,3,1,0,Group
Uruguay,CostaRica,1,3,-2,0,1,Group
England,Italy,1,2,-1,0,1,Group
CotedIvoire,Japan,2,1,1,1,0,Group
Switzerland,Ecuador,2,1,1,1,0,Group
France,Honduras,3,0,3,1,0,Group
Argentina,Bosnia,2,1,1,1,0,Group
Germany,Portugal,4,0,4,1,0,Group
Iran,Nigeria,0,0,0,0,0,Group
Ghana,UnitedStates,1,2,-1,0,1,Group
Belgium,Algeria,2,1,1,1,0,Group
Brazil,Mexico,0,0,0,0,0,Group
Russia,Korea,1,1,0,0,0,Group
Australia,Netherlands,2,3,-1,0,1,Group
Spain,Chile,0,2,-2,0,1,Group
Cameroon,Croatia,0,4,-4,0,1,Group
Colombia,CotedIvoire,2,1,1,1,0,Group
Uruguay,England,2,1,1,1,0,Group
Japan,Greece,0,0,0,0,0,Group
Italy,CostaRica,0,1,-1,0,1,Group
Switzerland,France,2,5,-3,0,1,Group
Honduras,Ecuador,1,2,-1,0,1,Group
Argentina,Iran,1,0,1,1,0,Group
Germany,Ghana,2,2,0,0,0,Group
Nigeria,Bosnia,1,0,1,1,0,Group
Belgium,Russia,1,0,1,1,0,Group
Korea,Algeria,2,4,-2,0,1,Group
UnitedStates,Portugal,2,2,0,0,0,Group
Australia,Spain,0,3,-3,0,1,Group
Netherlands,Chile,2,0,2,1,0,Group
